design,card,domain,combo,perm,choiceset,option_1,option_2,option_3,option_4,response,order,gender,educ,region,race,age_cross
5,32,16,11,51,cbad,3,2,1,4,2,1,2,5,2,1,3
6,1,1,10,35,dbc,4,2,3,,3,5,2,5,4,1,1
6,2,2,3,5,ad,1,4,,,1,9,2,5,4,1,1
6,3,3,1,1,ab,1,2,,,1,14,2,5,4,1,1
6,4,4,6,11,cd,3,4,,,3,7,2,5,4,1,1
6,5,5,11,58,dbca,4,2,3,1,1,11,2,5,4,1,1
6,6,6,11,55,dabc,4,1,2,3,2,15,2,5,4,1,1
6,7,7,9,30,dca,4,3,1,,1,2,2,5,4,1,1
6,8,8,2,3,ac,1,3,,,1,6,2,5,4,1,1
6,9,9,7,13,abc,1,2,3,,2,3,2,5,4,1,1
6,10,10,11,60,dcba,4,3,2,1,1,10,2,5,4,1,1
6,11,11,6,12,dc,4,3,,,3,16,2,5,4,1,1
6,12,12,2,3,ac,1,3,,,3,8,2,5,4,1,1
6,13,13,7,18,cba,3,2,1,,2,13,2,5,4,1,1
6,14,14,8,20,adb,1,4,2,,4,12,2,5,4,1,1
6,15,15,3,5,ad,1,4,,,4,1,2,5,4,1,1
6,16,16,11,42,adcb,1,4,3,2,2,4,2,5,4,1,1
6,17,1,2,3,ac,1,3,,,1,21,2,5,4,1,1
6,18,2,7,16,bca,2,3,1,,2,25,2,5,4,1,1
6,19,3,7,14,acb,1,3,2,,1,30,2,5,4,1,1
6,20,4,2,4,ca,3,1,,,3,23,2,5,4,1,1
6,21,5,10,32,bdc,2,4,3,,2,27,2,5,4,1,1
6,22,6,7,14,acb,1,3,2,,2,31,2,5,4,1,1
6,23,7,1,1,ab,1,2,,,1,18,2,5,4,1,1
6,24,8,4,7,bc,2,3,,,2,22,2,5,4,1,1
6,25,9,11,38,abdc,1,2,4,3,4,19,2,5,4,1,1
6,26,10,5,9,bd,2,4,,,2,26,2,5,4,1,1
6,27,11,3,5,ad,1,4,,,1,32,2,5,4,1,1
6,28,12,7,14,acb,1,3,2,,3,24,2,5,4,1,1
6,29,13,8,22,bda,2,4,1,,2,29,2,5,4,1,1
6,30,14,3,6,da,4,1,,,4,28,2,5,4,1,1
6,31,15,10,32,bdc,2,4,3,,4,17,2,5,4,1,1
6,32,16,10,32,bdc,2,4,3,,2,20,2,5,4,1,1
7,1,1,7,16,bca,2,3,1,,1,5,1,6,3,1,1
7,2,2,11,38,abdc,1,2,4,3,1,4,1,6,3,1,1
7,3,3,11,47,bdac,2,4,1,3,4,2,1,6,3,1,1
7,4,4,4,7,bc,2,3,,,3,10,1,6,3,1,1
7,5,5,9,30,dca,4,3,1,,3,7,1,6,3,1,1
7,6,6,11,47,bdac,2,4,1,3,4,15,1,6,3,1,1
7,7,7,10,31,bcd,2,3,4,,2,3,1,6,3,1,1
7,8,8,6,12,dc,4,3,,,4,13,1,6,3,1,1
7,9,9,3,6,da,4,1,,,1,9,1,6,3,1,1
7,10,10,8,24,dba,4,2,1,,2,12,1,6,3,1,1
7,11,11,9,26,adc,1,4,3,,4,8,1,6,3,1,1
7,12,12,8,23,dab,4,1,2,,4,11,1,6,3,1,1
7,13,13,3,5,ad,1,4,,,4,1,1,6,3,1,1
7,14,14,10,32,bdc,2,4,3,,3,16,1,6,3,1,1
7,15,15,2,4,ca,3,1,,,1,14,1,6,3,1,1
7,16,16,7,18,cba,3,2,1,,3,6,1,6,3,1,1
7,17,1,11,52,cbda,3,2,4,1,1,21,1,6,3,1,1
7,18,2,9,28,cda,3,4,1,,1,20,1,6,3,1,1
7,19,3,7,17,cab,3,1,2,,3,18,1,6,3,1,1
7,20,4,5,10,db,4,2,,,4,26,1,6,3,1,1
7,21,5,1,2,ba,2,1,,,1,23,1,6,3,1,1
7,22,6,9,27,cad,3,1,4,,4,31,1,6,3,1,1
7,23,7,6,11,cd,3,4,,,4,19,1,6,3,1,1
7,24,8,2,4,ca,3,1,,,3,29,1,6,3,1,1
7,25,9,1,2,ba,2,1,,,1,25,1,6,3,1,1
7,26,10,7,18,cba,3,2,1,,2,28,1,6,3,1,1
7,27,11,5,9,bd,2,4,,,4,24,1,6,3,1,1
7,28,12,1,1,ab,1,2,,,1,27,1,6,3,1,1
7,29,13,1,1,ab,1,2,,,1,17,1,6,3,1,1
7,30,14,4,7,bc,2,3,,,3,32,1,6,3,1,1
7,31,15,4,7,bc,2,3,,,3,30,1,6,3,1,1
7,32,16,11,57,dbac,4,2,1,3,3,22,1,6,3,1,1
8,1,1,1,1,ab,1,2,,,1,12,1,4,4,2,1
8,2,2,5,10,db,4,2,,,2,1,1,4,4,2,1
8,3,3,11,53,cdab,3,4,1,2,4,5,1,4,4,2,1
8,4,4,7,14,acb,1,3,2,,2,16,1,4,4,2,1
8,5,5,11,47,bdac,2,4,1,3,2,6,1,4,4,2,1
8,6,6,5,9,bd,2,4,,,2,10,1,4,4,2,1
8,7,7,2,3,ac,1,3,,,1,2,1,4,4,2,1
8,8,8,9,29,dac,4,1,3,,4,15,1,4,4,2,1
8,9,9,1,2,ba,2,1,,,2,13,1,4,4,2,1
8,10,10,7,13,abc,1,2,3,,1,4,1,4,4,2,1
8,11,11,9,27,cad,3,1,4,,4,9,1,4,4,2,1
8,12,12,9,25,acd,1,3,4,,3,3,1,4,4,2,1
8,13,13,2,3,ac,1,3,,,1,8,1,4,4,2,1
8,14,14,9,26,adc,1,4,3,,4,14,1,4,4,2,1
8,15,15,5,10,db,4,2,,,2,11,1,4,4,2,1
8,16,16,6,12,dc,4,3,,,3,7,1,4,4,2,1
8,17,1,7,13,abc,1,2,3,,1,28,1,4,4,2,1
8,18,2,11,51,cbad,3,2,1,4,1,17,1,4,4,2,1
8,19,3,10,35,dbc,4,2,3,,4,21,1,4,4,2,1
8,20,4,3,5,ad,1,4,,,1,32,1,4,4,2,1
8,21,5,1,2,ba,2,1,,,2,22,1,4,4,2,1
8,22,6,6,12,dc,4,3,,,4,26,1,4,4,2,1
8,23,7,10,32,bdc,2,4,3,,2,18,1,4,4,2,1
8,24,8,1,2,ba,2,1,,,1,31,1,4,4,2,1
8,25,9,2,3,ac,1,3,,,3,29,1,4,4,2,1
8,26,10,11,37,abcd,1,2,3,4,4,20,1,4,4,2,1
8,27,11,5,10,db,4,2,,,4,25,1,4,4,2,1
8,28,12,11,53,cdab,3,4,1,2,3,19,1,4,4,2,1
8,29,13,9,28,cda,3,4,1,,1,24,1,4,4,2,1
8,30,14,3,6,da,4,1,,,4,30,1,4,4,2,1
8,31,15,10,34,cdb,3,4,2,,2,27,1,4,4,2,1
8,32,16,8,19,abd,1,2,4,,2,23,1,4,4,2,1
9,1,1,1,2,ba,2,1,,,1,16,1,5,3,3,1
9,2,2,2,4,ca,3,1,,,3,2,1,5,3,3,1
9,3,3,1,1,ab,1,2,,,2,11,1,5,3,3,1
9,4,4,3,5,ad,1,4,,,1,6,1,5,3,3,1
9,5,5,10,35,dbc,4,2,3,,2,13,1,5,3,3,1
9,6,6,7,15,bac,2,1,3,,2,8,1,5,3,3,1
9,7,7,1,1,ab,1,2,,,1,5,1,5,3,3,1
9,8,8,9,29,dac,4,1,3,,1,14,1,5,3,3,1
9,9,9,3,6,da,4,1,,,1,9,1,5,3,3,1
9,10,10,3,5,ad,1,4,,,1,10,1,5,3,3,1
9,11,11,9,27,cad,3,1,4,,1,1,1,5,3,3,1
9,12,12,3,6,da,4,1,,,4,4,1,5,3,3,1
9,13,13,11,38,abdc,1,2,4,3,1,12,1,5,3,3,1
9,14,14,11,40,acdb,1,3,4,2,2,7,1,5,3,3,1
9,15,15,3,5,ad,1,4,,,1,15,1,5,3,3,1
9,16,16,7,15,bac,2,1,3,,2,3,1,5,3,3,1
9,17,1,7,16,bca,2,3,1,,1,32,1,5,3,3,1
9,18,2,4,8,cb,3,2,,,3,18,1,5,3,3,1
9,19,3,6,12,dc,4,3,,,4,27,1,5,3,3,1
9,20,4,11,58,dbca,4,2,3,1,2,22,1,5,3,3,1
9,21,5,1,1,ab,1,2,,,1,29,1,5,3,3,1
9,22,6,3,5,ad,1,4,,,4,24,1,5,3,3,1
9,23,7,8,21,bad,2,1,4,,4,21,1,5,3,3,1
9,24,8,1,1,ab,1,2,,,1,30,1,5,3,3,1
9,25,9,5,10,db,4,2,,,2,25,1,5,3,3,1
9,26,10,10,31,bcd,2,3,4,,2,26,1,5,3,3,1
9,27,11,11,60,dcba,4,3,2,1,2,17,1,5,3,3,1
9,28,12,7,18,cba,3,2,1,,3,20,1,5,3,3,1
9,29,13,3,6,da,4,1,,,1,28,1,5,3,3,1
9,30,14,1,1,ab,1,2,,,2,23,1,5,3,3,1
9,31,15,6,12,dc,4,3,,,3,31,1,5,3,3,1
9,32,16,9,25,acd,1,3,4,,3,19,1,5,3,3,1
10,1,1,5,10,db,4,2,,,2,10,2,2,1,1,1
10,2,2,1,2,ba,2,1,,,1,7,2,2,1,1,1
10,3,3,4,7,bc,2,3,,,2,3,2,2,1,1,1
10,4,4,11,55,dabc,4,1,2,3,2,4,2,2,1,1,1
10,5,5,7,17,cab,3,1,2,,2,8,2,2,1,1,1
10,6,6,3,5,ad,1,4,,,1,1,2,2,1,1,1
10,7,7,11,51,cbad,3,2,1,4,1,11,2,2,1,1,1
10,8,8,2,4,ca,3,1,,,3,15,2,2,1,1,1
10,9,9,5,9,bd,2,4,,,4,16,2,2,1,1,1
10,10,10,1,2,ba,2,1,,,2,9,2,2,1,1,1
10,11,11,5,10,db,4,2,,,2,13,2,2,1,1,1
10,12,12,11,38,abdc,1,2,4,3,4,14,2,2,1,1,1
10,13,13,4,8,cb,3,2,,,3,2,2,2,1,1,1
10,14,14,3,6,da,4,1,,,4,5,2,2,1,1,1
10,15,15,9,30,dca,4,3,1,,3,12,2,2,1,1,1
10,16,16,1,2,ba,2,1,,,1,6,2,2,1,1,1
10,17,1,9,25,acd,1,3,4,,1,26,2,2,1,1,1
10,18,2,3,6,da,4,1,,,1,23,2,2,1,1,1
10,19,3,10,31,bcd,2,3,4,,4,19,2,2,1,1,1
10,20,4,3,5,ad,1,4,,,1,20,2,2,1,1,1
10,21,5,9,28,cda,3,4,1,,1,24,2,2,1,1,1
10,22,6,8,20,adb,1,4,2,,1,17,2,2,1,1,1
10,23,7,6,12,dc,4,3,,,4,27,2,2,1,1,1
10,24,8,9,27,cad,3,1,4,,3,31,2,2,1,1,1
10,25,9,6,12,dc,4,3,,,3,32,2,2,1,1,1
10,26,10,6,11,cd,3,4,,,3,25,2,2,1,1,1
10,27,11,8,22,bda,2,4,1,,2,29,2,2,1,1,1
10,28,12,1,1,ab,1,2,,,1,30,2,2,1,1,1
10,29,13,10,36,dcb,4,3,2,,3,18,2,2,1,1,1
10,30,14,4,8,cb,3,2,,,2,21,2,2,1,1,1
10,31,15,1,2,ba,2,1,,,2,28,2,2,1,1,1
10,32,16,5,10,db,4,2,,,4,22,2,2,1,1,1
11,1,1,4,7,bc,2,3,,,3,32,2,5,3,3,2
11,2,2,9,30,dca,4,3,1,,4,18,2,5,3,3,2
11,3,3,4,7,bc,2,3,,,2,29,2,5,3,3,2
11,4,4,7,15,bac,2,1,3,,3,31,2,5,3,3,2
11,5,5,2,4,ca,3,1,,,1,30,2,5,3,3,2
11,6,6,2,4,ca,3,1,,,1,17,2,5,3,3,2
11,7,7,6,11,cd,3,4,,,4,27,2,5,3,3,2
11,8,8,3,6,da,4,1,,,1,19,2,5,3,3,2
11,9,9,4,8,cb,3,2,,,2,26,2,5,3,3,2
11,10,10,10,34,cdb,3,4,2,,2,23,2,5,3,3,2
11,11,11,3,5,ad,1,4,,,1,24,2,5,3,3,2
11,12,12,7,16,bca,2,3,1,,3,25,2,5,3,3,2
11,13,13,5,10,db,4,2,,,2,21,2,5,3,3,2
11,14,14,9,27,cad,3,1,4,,4,28,2,5,3,3,2
11,15,15,7,13,abc,1,2,3,,2,22,2,5,3,3,2
11,16,16,7,17,cab,3,1,2,,2,20,2,5,3,3,2
11,17,1,5,10,db,4,2,,,2,16,2,5,3,3,2
11,18,2,6,11,cd,3,4,,,4,2,2,5,3,3,2
11,19,3,2,4,ca,3,1,,,1,13,2,5,3,3,2
11,20,4,6,11,cd,3,4,,,3,15,2,5,3,3,2
11,21,5,9,25,acd,1,3,4,,4,14,2,5,3,3,2
11,22,6,5,9,bd,2,4,,,4,1,2,5,3,3,2
11,23,7,10,36,dcb,4,3,2,,4,11,2,5,3,3,2
11,24,8,2,3,ac,1,3,,,1,3,2,5,3,3,2
11,25,9,7,13,abc,1,2,3,,2,10,2,5,3,3,2
11,26,10,1,1,ab,1,2,,,2,7,2,5,3,3,2
11,27,11,4,8,cb,3,2,,,3,8,2,5,3,3,2
11,28,12,4,8,cb,3,2,,,3,9,2,5,3,3,2
11,29,13,4,7,bc,2,3,,,2,5,2,5,3,3,2
11,30,14,4,7,bc,2,3,,,2,12,2,5,3,3,2
11,31,15,5,9,bd,2,4,,,4,6,2,5,3,3,2
11,32,16,9,28,cda,3,4,1,,3,4,2,5,3,3,2
12,1,1,7,13,abc,1,2,3,,3,29,2,1,2,1,2
12,2,2,9,27,cad,3,1,4,,1,25,2,1,2,1,2
12,3,3,4,8,cb,3,2,,,3,19,2,1,2,1,2
12,4,4,11,53,cdab,3,4,1,2,3,27,2,1,2,1,2
12,5,5,9,28,cda,3,4,1,,4,24,2,1,2,1,2
12,6,6,4,7,bc,2,3,,,2,28,2,1,2,1,2
12,7,7,10,32,bdc,2,4,3,,4,20,2,1,2,1,2
12,8,8,11,41,adbc,1,4,2,3,2,26,2,1,2,1,2
12,9,9,6,11,cd,3,4,,,4,22,2,1,2,1,2
12,10,10,3,6,da,4,1,,,1,30,2,1,2,1,2
12,11,11,3,5,ad,1,4,,,1,23,2,1,2,1,2
12,12,12,11,39,acbd,1,3,2,4,2,21,2,1,2,1,2
12,13,13,2,3,ac,1,3,,,3,31,2,1,2,1,2
12,14,14,11,40,acdb,1,3,4,2,2,18,2,1,2,1,2
12,15,15,6,11,cd,3,4,,,3,32,2,1,2,1,2
12,16,16,9,28,cda,3,4,1,,3,17,2,1,2,1,2
12,17,1,8,24,dba,4,2,1,,4,13,2,1,2,1,2
12,18,2,1,2,ba,2,1,,,1,9,2,1,2,1,2
12,19,3,11,51,cbad,3,2,1,4,4,3,2,1,2,1,2
12,20,4,5,10,db,4,2,,,4,11,2,1,2,1,2
12,21,5,11,38,abdc,1,2,4,3,4,8,2,1,2,1,2
12,22,6,2,4,ca,3,1,,,1,12,2,1,2,1,2
12,23,7,7,18,cba,3,2,1,,1,4,2,1,2,1,2
12,24,8,4,7,bc,2,3,,,2,10,2,1,2,1,2
12,25,9,2,4,ca,3,1,,,3,6,2,1,2,1,2
12,26,10,4,8,cb,3,2,,,2,14,2,1,2,1,2
12,27,11,5,10,db,4,2,,,2,7,2,1,2,1,2
12,28,12,10,33,cbd,3,2,4,,2,5,2,1,2,1,2
12,29,13,7,18,cba,3,2,1,,2,15,2,1,2,1,2
12,30,14,5,9,bd,2,4,,,2,2,2,1,2,1,2
12,31,15,4,7,bc,2,3,,,2,16,2,1,2,1,2
12,32,16,8,22,bda,2,4,1,,2,1,2,1,2,1,2
13,1,1,9,25,acd,1,3,4,,1,31,1,2,3,3,3
13,2,2,6,12,dc,4,3,,,3,24,1,2,3,3,3
13,3,3,1,1,ab,1,2,,,1,27,1,2,3,3,3
13,4,4,10,34,cdb,3,4,2,,2,32,1,2,3,3,3
13,5,5,6,11,cd,3,4,,,4,29,1,2,3,3,3
13,6,6,9,28,cda,3,4,1,,3,18,1,2,3,3,3
13,7,7,5,9,bd,2,4,,,4,25,1,2,3,3,3
13,8,8,11,55,dabc,4,1,2,3,2,21,1,2,3,3,3
13,9,9,2,4,ca,3,1,,,3,20,1,2,3,3,3
13,10,10,1,1,ab,1,2,,,2,23,1,2,3,3,3
13,11,11,8,22,bda,2,4,1,,1,26,1,2,3,3,3
13,12,12,4,7,bc,2,3,,,2,22,1,2,3,3,3
13,13,13,3,6,da,4,1,,,1,28,1,2,3,3,3
13,14,14,3,5,ad,1,4,,,4,30,1,2,3,3,3
13,15,15,10,31,bcd,2,3,4,,3,19,1,2,3,3,3
13,16,16,2,4,ca,3,1,,,1,17,1,2,3,3,3
13,17,1,10,33,cbd,3,2,4,,2,15,1,2,3,3,3
13,18,2,9,25,acd,1,3,4,,1,8,1,2,3,3,3
13,19,3,3,6,da,4,1,,,1,11,1,2,3,3,3
13,20,4,8,22,bda,2,4,1,,2,16,1,2,3,3,3
13,21,5,4,7,bc,2,3,,,3,13,1,2,3,3,3
13,22,6,2,4,ca,3,1,,,3,2,1,2,3,3,3
13,23,7,3,6,da,4,1,,,4,9,1,2,3,3,3
13,24,8,10,36,dcb,4,3,2,,2,5,1,2,3,3,3
13,25,9,7,17,cab,3,1,2,,2,4,1,2,3,3,3
13,26,10,10,31,bcd,2,3,4,,2,7,1,2,3,3,3
13,27,11,5,9,bd,2,4,,,4,10,1,2,3,3,3
13,28,12,6,11,cd,3,4,,,4,6,1,2,3,3,3
